round,train_loss,train_acc,val_loss,val_acc
1,2.1389,31.09,1.8101,38.46
2,1.8643,50.45,1.4749,77.11
3,1.5727,69.09,1.1386,89.17
4,1.2836,78.60,0.8674,91.11
5,1.0284,83.40,0.6708,91.58
6,0.8448,85.69,0.5307,91.98
7,0.7074,87.62,0.4421,92.34
8,0.6195,88.12,0.3854,92.78
9,0.5502,88.97,0.3322,93.20
10,0.4984,89.84,0.3036,93.40
11,0.4627,90.26,0.2778,93.56
12,0.4321,90.84,0.2643,93.77
13,0.4175,90.87,0.2496,93.91
14,0.3953,91.30,0.2388,93.95
15,0.3804,91.75,0.2308,94.23
16,0.3707,91.58,0.2240,94.22
17,0.3566,92.01,0.2159,94.30
18,0.3492,92.03,0.2151,94.30
19,0.3339,92.46,0.2073,94.40
20,0.3317,92.29,0.2008,94.56
